iter	Passed	Remaining
846	146532	26469
847	146711	26297
848	146889	26125
849	147046	25949
850	147227	25777
851	147401	25604
852	147574	25431
853	147766	25262
854	147946	25090
855	148124	24918
856	148305	24746
857	148474	24572
858	148639	24398
859	148788	24221
860	148958	24047
861	149095	23869
862	149264	23695
863	149443	23523
864	149624	23351
865	149793	23178
866	149915	22997
867	150060	22820
868	150249	22649
869	150394	22472
870	150570	22300
871	150748	22128
872	150929	21956
873	151099	21783
874	151256	21608
875	151428	21435
876	151593	21261
877	151768	21088
878	151947	20916
879	152109	20742
880	152268	20567
881	152431	20393
882	152618	20222
883	152790	20049
884	152970	19877
885	153146	19705
886	153318	19532
887	153477	19357
888	153658	19185
889	153837	19013
890	154013	18841
891	154192	18668
892	154347	18494
893	154528	18322
894	154716	18151
895	154896	17979
896	155086	17808
897	155265	17635
898	155430	17462
899	155608	17289
900	155796	17118
901	155994	16948
902	156159	16774
903	156307	16599
904	156491	16427
905	156635	16251
906	156771	16074
907	156930	15900
908	157121	15729
909	157280	15555
910	157464	15383
911	157599	15206
912	157783	15035
913	157954	14862
914	158119	14688
915	158283	14515
916	158445	14341
917	158626	14169
918	158791	13995
919	158961	13822
920	159128	13649
921	159315	13477
922	159515	13307
923	159684	13134
924	159847	12960
925	160021	12787
926	160192	12614
927	160363	12442
928	160535	12269
929	160702	12095
930	160822	11919
931	160987	11745
932	161096	11568
933	161268	11395
934	161435	11222
935	161602	11049
936	161793	10878
937	161985	10706
938	162133	10532
939	162325	10361
940	162489	10187
941	162664	10015
942	162838	9842
943	163000	9669
944	163165	9496
945	163296	9321
946	163483	9149
947	163663	8977
948	163862	8806
949	164024	8632
950	164194	8460
951	164365	8287
952	164487	8112
953	164661	7939
954	164844	7767
955	164953	7592
956	165145	7420
957	165321	7247
958	165501	7075
959	165664	6902
960	165847	6730
961	166037	6558
962	166196	6385
963	166365	6212
964	166539	6040
965	166701	5867
966	166871	5694
967	167061	5522
968	167233	5350
969	167408	5177
970	167588	5005
971	167763	4832
972	167917	4659
973	168120	4487
974	168293	4315
975	168469	4142
976	168632	3969
977	168811	3797
978	169005	3625
979	169154	3452
980	169324	3279
981	169499	3106
982	169663	2934
983	169826	2761
984	169996	2588
985	170200	2416
986	170380	2244
987	170580	2071
988	170761	1899
989	170942	1726
990	171096	1553
991	171259	1381
992	171436	1208
993	171633	1036
994	171781	863
995	171955	690
996	172141	517
997	172323	345
998	172515	172
999	172678	0
