iter	Passed	Remaining
968	22966	734
969	22986	710
970	23007	687
971	23032	663
972	23055	639
973	23078	616
974	23100	592
975	23120	568
976	23144	544
977	23166	521
978	23192	497
979	23216	473
980	23240	450
981	23265	426
982	23291	402
983	23319	379
984	23350	355
985	23376	331
986	23398	308
987	23421	284
988	23442	260
989	23461	236
990	23479	213
991	23497	189
992	23512	165
993	23529	142
994	23545	118
995	23559	94
996	23574	70
997	23589	47
998	23602	23
999	23621	0
